line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
2호선,신설동,동대문구,14959.134259259261,6798.168209876545,8838.409722222223
2호선,신촌,마포구,143613.69907407407,72056.52932098765,89945.82175925926
2호선,아현,마포구,45136.43981481481,17674.529320987655,24540.00694444444
2호선,역삼,강남구,270808.49074074073,66571.81635802468,117630.9849537037
2호선,영등포구청,영등포구,107184.49074074073,31834.75,50672.18518518519
2호선,왕십리,성동구,62381.81018518519,27168.413580246914,35971.76273148148
2호선,을지로3가,중구,117925.30092592591,33382.34104938271,54518.08101851852
2호선,을지로4가,중구,61433.537037037044,21162.99382716049,31230.629629629624
2호선,을지로입구,중구,224500.97222222225,65778.66666666666,105459.24305555555
2호선,이대,마포구,65525.6712962963,29473.211419753083,38486.32638888889
2호선,잠실,송파구,324090.3564814815,137972.2330246914,184501.76388888885
2호선,잠실나루,송파구,61944.67592592593,23771.183641975313,33314.55671296296
2호선,잠실새내,송파구,96093.37037037038,40044.56018518519,54056.76273148149
2호선,종합운동장,송파구,51820.30555555556,23868.973765432096,30856.806712962953
2호선,충정로,서대문구,50559.18055555556,14490.171296296297,23507.423611111113
2호선,한양대,성동구,44766.398148148146,19698.358024691363,25965.36805555555
2호선,합정,마포구,145652.14814814815,59522.341049382725,81054.79282407409
2호선,홍대입구,마포구,256007.58333333334,140134.7515432099,169102.95949074076
3호선,가락시장,송파구,38821.87037037037,14858.870370370369,20849.62037037037
3호선,경복궁,종로구,105225.66203703704,43401.80246913581,58857.76736111112
3호선,경찰병원,송파구,34960.652777777774,10780.654320987656,16825.653935185182
3호선,고속터미널,서초구,169740.28240740742,98239.79320987655,116114.91550925927
3호선,교대,서초구,54881.0,19781.02314814815,28556.017361111106
3호선,구파발,은평구,91863.32407407409,35946.00154320987,49925.33217592593
3호선,금호,성동구,34307.958333333336,12901.516975308643,18253.12731481482
3호선,남부터미널,서초구,140500.375,46286.68055555556,69840.10416666666
3호선,녹번,은평구,69600.51851851853,22848.1188271605,34536.21875
3호선,대청,강남구,45384.36574074074,15965.83487654321,23320.467592592595
3호선,대치,강남구,49182.810185185175,20955.037037037036,28011.980324074073
3호선,도곡,강남구,24455.662037037036,8386.467592592591,12403.7662037037
3호선,독립문,서대문구,30515.393518518522,14042.01697530864,18160.36111111111
3호선,동대입구,중구,44815.59722222222,18490.222222222223,25071.56597222223
3호선,매봉,강남구,59958.53240740741,16655.11574074074,27480.9699074074
3호선,무악재,서대문구,18910.85648148148,6875.953703703704,9884.679398148144
3호선,불광,은평구,72945.23148148149,29891.29938271605,40654.78240740742
3호선,수서,강남구,79481.02777777777,31486.53703703703,43485.159722222226
3호선,신사,강남구,128892.46296296296,49047.72993827161,69008.91319444445
3호선,안국,종로구,110217.1435185185,44147.634259259255,60665.011574074066
3호선,압구정,강남구,144948.99074074076,54421.48148148148,77053.35879629629
3호선,약수,중구,55157.38425925926,21823.2762345679,30156.80324074074
3호선,양재,서초구,190229.78703703705,53799.05401234568,87906.73726851853
3호선,연신내,은평구,147732.1851851852,59771.30401234568,81761.52430555556
3호선,오금,송파구,29190.675925925927,9096.953703703703,14120.384259259257
3호선,옥수,성동구,38504.277777777774,15848.759259259261,21512.63888888889
3호선,을지로3가,중구,56393.898148148146,15537.382716049382,25751.511574074084
3호선,일원,강남구,42764.541666666664,17642.34722222222,23922.89583333334
3호선,잠원,서초구,20575.46759259259,8414.572530864198,11454.796296296294
3호선,종로3가,종로구,46174.648148148146,19984.490740740745,26532.030092592595
3호선,지축,은평구,27810.425925925927,10114.30709876543,14538.336805555555
3호선,충무로,중구,6.37962962962963,3.6450617283950613,4.328703703703704
3호선,학여울,강남구,10054.402777777777,4500.203703703704,5888.753472222222
3호선,홍제,서대문구,76018.80555555556,29846.33179012346,41389.45023148147
4호선,길음,성북구,93936.14351851853,35181.64969135803,49870.27314814814
4호선,남태령,서초구,5923.152777777778,1973.5787037037035,2960.972222222222
4호선,노원,노원구,94949.82407407409,41376.285493827156,54769.67013888888
4호선,당고개,노원구,40071.21296296297,16196.521604938274,22165.19444444444
4호선,동대문,종로구,70055.25,38655.92438271605,46505.75578703703
4호선,동대문역사문화공원,중구,68393.7824074074,29949.694444444445,39560.71643518518
